SWG,mm,CD Min mm,CD Max mm,Normal Conductor Area mm²,Conductor Weight for 1000m/Kg,CR Normal,CR Max ,CR Min,FC Min mm,FC Max mm,Medium Covering Min,Medium Covering Max
10,3.24,3.218,3.284,8.24479,73.296,0.00203,0.00209,0.00198,,,0.086,3.38
11,2.946,2.917,2.975,6.8164,60.598,0.002529,0.002579,0.002479,0.055,3.055,0.081,3.087
12,2.642,2.616,2.668,5.48221,48.737,0.003145,0.003206,0.003083,0.053,2.746,0.078,2.776
13,2.337,2.314,2.36,4.28951,38.134,0.004019,0.004097,0.003939,0.051,2.436,0.076,2.465
13.5,2.18,2.162,2.206,3.73252,33.182,0.004512,0.00469,0.00443,,,0.076,2.301
14,2.032,2.012,2.052,3.24293,28.83,0.005317,0.00542,0.005211,0.049,2.124,0.073,2.152
15,1.829,1.811,1.847,2.62735,23.357,0.006562,0.00669,0.006432,0.048,1.917,0.071,1.945
16,1.626,1.61,1.642,2.0765,18.46,0.008303,0.008465,0.008139,0.046,1.709,0.068,1.737
17,1.422,1.408,1.436,1.58814,14.119,0.01086,0.01107,0.01064,0.044,1.501,0.066,1.528
18,1.219,1.207,1.231,1.16707,10.375,0.01478,0.01506,0.01448,0.042,1.294,0.063,1.32
18.5,1.115,1.107,1.129,0.97642,8.68,0.01714,0.01791,0.0169,,,0.065,1.216
19,1.016,1.006,1.026,0.81073,7.207,0.02127,0.02168,0.02085,0.039,1.084,0.059,1.109
20,0.914,0.905,0.923,0.65612,5.833,0.0263,0.027,0.0255,0.038,0.979,0.057,1.009
21,0.813,0.805,0.821,0.51912,4.615,0.0332,0.0342,0.0323,0.036,0.874,0.054,0.898
22,0.711,0.704,0.718,0.39704,3.53,0.0434,0.0447,0.0422,0.034,0.768,0.051,0.791
23,0.61,0.604,0.618,0.29225,2.598,0.059,0.0607,0.0574,0.032,0.664,0.049,0.686
24,0.559,0.553,0.565,0.24542,2.182,0.0703,0.0724,0.0682,0.03,0.61,0.046,0.631
25,0.508,0.503,0.513,0.20268,1.802,0.0851,0.0875,0.0827,0.029,0.556,0.044,0.577
26,0.457,0.452,0.462,0.16403,1.458,0.1051,0.1084,0.102,0.027,0.502,0.041,0.523
27,0.417,0.412,0.422,0.13657,1.214,0.1262,0.1305,0.122,0.025,0.459,0.038,0.479
28,0.376,0.371,0.381,0.11104,0.987,0.1553,0.1609,0.1499,0.024,0.417,0.037,0.437
29,0.345,0.341,0.349,0.09348,0.831,0.1844,0.1904,0.1787,0.022,0.385,0.036,0.404
30,0.315,0.311,0.319,0.07793,0.693,0.2212,0.2289,0.2139,0.021,0.352,0.034,0.371
31,0.295,0.291,0.299,0.06835,0.608,0.2523,0.2615,0.2435,0.021,0.331,0.033,0.35
32,0.274,0.27,0.278,0.05896,0.524,0.2924,0.3037,0.2816,0.02,0.309,0.032,0.328
33,0.254,0.25,0.258,0.05067,0.45,0.3403,0.3543,0.327,0.019,0.288,0.031,0.305
34,0.234,0.231,0.237,0.04301,0.382,0.4009,0.415,0.3875,0.018,0.266,0.03,0.282
35,0.213,0.21,0.216,0.03563,0.317,0.4839,0.5022,0.4665,0.017,0.244,0.028,0.26
36,0.193,0.19,0.196,0.02926,0.26,0.5893,0.6134,0.5666,0.017,0.223,0.027,0.237
37,0.173,0.17,0.176,0.02351,0.209,0.7335,0.7662,0.7026,0.016,0.201,0.026,0.214
38,0.152,0.149,0.155,0.01815,0.161,0.95,0.9974,0.9059,0.016,0.179,0.025,0.19
39,0.132,0.129,0.135,0.01368,0.122,1.26,1.331,1.194,0.014,0.155,0.023,0.167
40,0.122,0.119,0.125,0.01169,0.104,1.475,1.564,1.393,0.013,0.146,0.022,0.156
41,0.112,0.109,0.115,0.00985,0.088,1.75,1.864,1.646,0.012,0.134,0.02,0.143
42,0.102,0.099,0.105,0.00817,0.073,2.11,2.259,1.974,0.011,0.123,0.019,0.131
43,0.091,0.088,0.094,0.0065,0.058,2.651,2.85,2.452,0.01,0.111,0.017,0.118
44,0.081,0.078,0.084,0.00515,0.046,3.346,3.614,3.078,0.009,0.099,0.016,0.106
45,0.071,0.068,0.074,0.00396,0.035,4.355,4.725,3.985,0.008,0.088,0.015,0.095
46,0.061,-,-,0.00292,0.026,5.999,6.431,5.369,0.007,0.076,0.013,0.083
47,0.051,-,-,0.00204,0.018,8.44,9.284,7.596,0.005,0.063,0.01,0.069
48,0.041,-,-,0.00312,0.012,13.06,14.63,11.62,0.004,0.0451,0.008,0.055
